,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,OPR_INTERVAL,GROUP
79,2024-01-01T23:30:00-00:00,2024-01-01T23:45:00-00:00,2024-01-01,16,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,43.51608,3,5
80,2024-01-02T00:30:00-00:00,2024-01-02T00:45:00-00:00,2024-01-01,17,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,45.34029,3,5
81,2024-01-02T01:30:00-00:00,2024-01-02T01:45:00-00:00,2024-01-01,18,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,51.60487,3,5
82,2024-01-02T02:30:00-00:00,2024-01-02T02:45:00-00:00,2024-01-01,19,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,51.89761,3,5
83,2024-01-02T03:30:00-00:00,2024-01-02T03:45:00-00:00,2024-01-01,20,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,44.76863,3,5
84,2024-01-02T04:30:00-00:00,2024-01-02T04:45:00-00:00,2024-01-01,21,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,44.474,3,5
85,2024-01-02T05:30:00-00:00,2024-01-02T05:45:00-00:00,2024-01-01,22,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,41.2996,3,5
86,2024-01-02T06:30:00-00:00,2024-01-02T06:45:00-00:00,2024-01-01,23,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,39.10078,3,5
87,2024-01-02T07:30:00-00:00,2024-01-02T07:45:00-00:00,2024-01-01,24,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,35.54544,3,5
88,2024-01-01T08:45:00-00:00,2024-01-01T09:00:00-00:00,2024-01-01,1,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,37.75044,4,5
89,2024-01-01T09:45:00-00:00,2024-01-01T10:00:00-00:00,2024-01-01,2,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,37.84206,4,5
90,2024-01-01T10:45:00-00:00,2024-01-01T11:00:00-00:00,2024-01-01,3,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,39.26068,4,5
91,2024-01-01T11:45:00-00:00,2024-01-01T12:00:00-00:00,2024-01-01,4,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,44.40937,4,5
92,2024-01-01T12:45:00-00:00,2024-01-01T13:00:00-00:00,2024-01-01,5,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,46.46013,4,5
